236.9328766,236.9600658,237.0250915,237.0686797,237.1354245,237.1724487,237.2237125,237.2799892,237.3464814,237.3899619,237.4312395,237.4737693,237.5398512,237.576277,237.62745999999999,237.6888153,237.75190419999998,237.7712803,237.82876489999998,237.8737863,237.9365968,237.9850357,238.0362556,238.096253,238.164571,238.19501879999999,238.2412438,238.28380819999998,238.3666831,238.3750315,238.42877099999998
-1241,-1581,-1729,-2055,-2171,-1909,-1757,-2011,-2234,-2307,-1966,-993,-319,91,523,1106,2487,2989,2665,2053,1577,1453,1871,1864,1941,1659,1595,1221,973,499,140
-727,-781,-744,-1082,-1183,-1486,-1571,-1512,-1552,-1834,-2087,-1678,-1670,-1023,-574,-232,593,304,1429,2221,2236,1736,2194,1695,1740,1043,1463,456,268,-196,-241
4091,5014,6177,7222,7609,7105,6707,6778,6898,6979,6658,5955,4828,3057,763,-1873,-6163,-8929,-10493,-11166,-11224,-10281,-9117,-8622,-7442,-6257,-4490,-2985,-1701,-744,-343
914,912,900,889,879,885,887,883,888,890,887,886,888,888,890,893,899,916,912,904,910,905,907,909,922,913,921,925,922,924,926
884,885,891,890,886,890,887,879,885,887,877,887,882,884,883,886,884,881,884,886,882,888,887,878,883,878,879,883,885,886,889
