96.1650469,96.2024565,96.2561568,96.3199723,96.3786799,96.3974043,96.4411633,96.49112769999999,96.5487953,96.5824408,96.6374079,96.6888353,96.74765479999999,96.7961501,96.8187818,96.8787012,96.9365854,96.9699368,97.0287822,97.0636769,97.1255683,97.1449785,97.1998984,97.2398967,97.29839129999999,97.3437032,97.4287604,97.4498931,97.5092465,97.531228,97.5824483,97.634886
92,110,12,-58,21,121,117,139,162,132,175,184,184,254,403,461,556,646,308,105,118,112,-17,-73,-246,-306,-296,-247,-187,-370,-366,-222
-144,-49,-112,-66,-150,-54,-170,-137,-121,-152,-30,-105,-281,-236,20,73,-117,48,-82,68,79,85,57,-71,-144,-305,-226,-168,-392,-241,-145,-14
-14,-9,-114,-100,24,-113,-187,-156,-219,-238,-291,-263,-446,-574,-602,-575,-281,-33,23,99,355,538,495,487,405,496,483,515,485,359,315,90
912,917,913,914,913,918,912,920,918,919,914,908,886,833,825,827,831,831,823,835,850,895,912,918,917,916,912,909,908,912,915,918
893,903,896,899,891,905,898,902,900,899,902,898,902,903,904,903,906,904,904,906,904,905,903,906,896,895,899,901,903,896,902,897
