291.9096614,291.9551562,292.0051413,292.0626985,292.1221144,292.150242,292.2002482,292.2539296,292.3122993,292.35893519999996,292.4276795,292.4614022,292.5214344,292.5602068,292.6176876,292.6639212,292.72275989999997,292.7939227,292.8314023,292.8738586,292.9337136,292.9651763,293.01887,293.05901869999997,293.14395049999996,293.16271969999997,293.2039974,293.2452424,293.3112215,293.34276359999996,293.3815479
2093,1799,1682,1817,2563,2140,1171,864,286,-578,-1460,-2491,-2858,-3060,-2509,-1959,-1709,-1480,-1398,-1407,-900,-530,-312,-347,-189,-199,56,71,54,89,176
779,417,306,-134,429,45,-290,174,-369,-324,-314,-700,-529,-772,-225,-304,-541,-440,-385,-663,-270,-168,-28,-132,-61,-192,13,7,138,139,1
-6896,-6217,-5553,-5110,-5622,-4971,-3857,-2948,-1366,684,2642,5048,6275,6777,6332,5847,5478,5076,4654,4665,3804,3150,2532,2308,1895,1537,1039,741,603,426,242
907,899,892,891,913,895,885,885,882,881,874,883,877,875,885,887,897,900,903,908,910,911,916,911,913,908,898,915,909,919,919
900,900,898,897,900,899,902,907,903,900,903,905,904,897,902,900,897,897,896,887,896,891,893,895,893,894,900,904,899,895,892
