155.5702082,155.6012666,155.6762583,155.6951486,155.7654963,155.7987914,155.83888249999998,155.89630449999999,155.9594893,155.9950434,156.050047,156.1013238,156.1640139,156.215004,156.258878,156.306294,156.3697934,156.4138169,156.4588379,156.5212369,156.5863178,156.6176231,156.6713753,156.7375781,156.8010284,156.8212763,156.8774899,156.9188052,156.9819887,157.0212429,157.0638152
-196,-93,-20,-75,-259,-239,-239,-313,-1176,-4606,-12587,-30395,-32768,-32768,-17141,-20,6280,10161,15601,21291,22313,20706,17557,14482,11250,7922,5110,2785,1127,385,139
-27,-160,-138,-102,-131,-52,-98,-150,-415,-713,-528,-587,1688,1222,-358,-2249,-3727,-2831,-2616,-2320,-2581,-2830,-811,-620,-296,502,1439,1875,1650,1553,1091
215,242,167,5,165,203,143,1,-165,-530,-1583,-1853,-1899,-883,-265,250,2163,2233,2097,1534,2339,2590,2513,2026,1227,415,-3,-151,-325,-404,-435
855,857,858,858,862,859,858,857,857,853,858,863,860,859,856,868,862,861,860,864,859,859,861,862,862,860,867,873,869,872,871
829,829,829,829,831,833,831,833,830,826,827,831,817,824,823,830,821,824,827,829,828,823,826,828,827,828,830,832,834,835,834
