383.2120144,383.2127757,383.2195107,383.2782772,383.3738798,383.3818288,383.4069335,383.45817239999997,383.5606828,383.56139229999997,383.589391,383.6494887,383.7505596,383.7512892,383.7733169,383.82568779999997,383.92215089999996,383.9229356,383.97333019999996,384.0243809,384.1267358,384.1274908,384.17457609999997,384.2070576,384.3179724,384.31891329999996,384.3506423,384.4108405,384.5092619,384.5099762,384.538211,384.5821047
161,69,119,177,180,84,69,76,96,93,54,31,4,27,34,43,5,-397,-490,-164,193,201,31,315,234,62,-45,-16,136,75,45,102
-23,-66,99,41,9,-108,-61,-98,-78,-62,-114,-60,-113,-108,-124,-81,-1952,-1331,148,922,159,155,82,327,5,102,-50,-109,-42,-87,-30,-23
122,243,118,135,76,-3,18,96,1,-9,-26,6,59,77,112,181,-28,91,-36,-575,-289,-73,-26,-108,29,-37,-38,154,154,80,150,189
783,786,778,784,786,786,783,790,786,792,785,791,790,786,787,787,782,787,783,779,782,780,776,777,779,777,779,777,780,781,774,784
808,817,805,807,809,809,806,804,807,808,806,804,803,807,808,772,716,714,721,746,787,799,800,805,805,803,806,806,807,807,801,804
