536.7395258,536.7566696,536.8252,536.8689624,536.9340065,536.97395,537.0214919,537.0640665,537.1298545999999,537.1865333999999,537.2139734,537.2628278999999,537.3298371,537.3627725,537.4066129,537.4565243,537.5327817,537.5628351,537.6127758,537.6539955999999,537.720516,537.7502888,537.8039344,537.8428153,537.9093904,537.9428224,537.9928074,538.0378178,538.103434,538.1328318,538.1865647,538.2390004
-3049,-5096,-7539,-8890,-9334,-8367,-5029,-235,3078,5162,6461,6943,6803,6422,6038,5536,4908,3929,2719,1604,881,331,-171,-453,-617,-593,-424,-391,-479,-456,-347,-199
-167,399,1155,2078,2924,1938,-1652,-2086,-2737,-2306,-2383,-1750,-1316,55,564,422,421,-34,-40,-7,377,570,579,581,238,247,284,-163,-282,-154,-317,-79
-25,-361,-787,-1301,-2309,-2399,-411,538,967,574,646,819,1238,690,248,665,1292,2011,1975,1862,1483,805,-108,-739,-945,-885,-793,-367,54,221,234,112
824,828,823,821,819,830,827,822,823,822,824,827,831,831,822,824,825,828,827,827,829,824,826,826,823,824,823,827,826,827,824,824
808,816,821,817,819,820,821,822,813,821,821,813,816,822,815,815,818,819,820,821,817,815,819,817,817,818,817,815,816,818,815,813
