227.1419343,227.1757151,227.226921,227.2744475,227.34003520000002,227.3768776,227.4319704,227.4943577,227.5619723,227.5795056,227.66063830000002,227.6919088,227.7565533,227.7832843,227.8657039,227.88571720000002,227.9515366,227.9906724,228.0406989,228.0957131,228.1604512,228.2231371,228.2593679,228.3294085,228.3956632,228.4031316,228.44826750000001,228.5106323,228.5761838,228.613124,228.6583072,228.715602
-1013,-1148,-1245,-1195,-1146,-994,-771,-863,-1473,-2468,-2732,-1988,-747,274,778,734,631,-1260,-4281,-5340,-2753,-1923,-942,265,1464,2489,3402,4003,4382,4098,2319,1680
-32,-2,-295,-780,-893,-442,13,88,-515,-1517,-2010,-1429,-461,209,560,312,246,-537,-6917,-7602,-3885,-2620,-1155,337,1586,2431,3188,3141,3272,3400,1729,2256
-1738,-1398,-415,403,343,-831,-985,-197,1829,4015,3743,2259,671,-1177,-1910,-1989,-1371,7455,25194,27895,18579,10192,3451,-2435,-6087,-8412,-10039,-11310,-11648,-10700,-8181,-6596
746,739,745,743,742,742,751,746,762,793,812,813,812,803,807,802,800,805,803,763,749,737,727,726,723,729,718,702,712,712,704,700
880,880,877,878,873,871,879,878,884,868,847,830,824,824,821,824,814,825,853,882,868,854,835,833,829,829,831,844,845,852,860,859
