265.2024326,265.239149,265.2804818,265.3654131,265.4347573,265.4353181,265.4866348,265.537872,265.60669359999997,265.6441485,265.7116132,265.7392355,265.8067577,265.8404817,265.8892259,265.9553873,266.0235658,266.0891735,266.1079135,266.1629042,266.2304103,266.26295899999997,266.3154353,266.3678871,266.4342799,266.4729765,266.515451,266.5616561,266.62284139999997,266.6553622,266.7004373
81,517,992,773,1222,2023,3842,10573,22257,30041,25747,7330,-8263,-13597,-19069,-22542,-19643,-14043,-8415,-4552,-2439,-903,73,490,517,536,918,909,722,826,1065
-91,-179,226,197,-24,-559,-1076,-1416,-2598,-1966,-1009,744,3069,2122,1925,1651,3358,204,-136,-236,-1552,-1649,-1195,-872,-690,-587,29,-20,-126,33,93
217,-208,-834,-34,721,325,-556,262,3006,4385,4562,3608,927,-587,-836,-3657,-3800,-606,1349,1037,507,-306,-886,-960,-785,-824,-687,-371,-12,95,-1
845,843,842,845,838,846,842,849,847,847,847,846,847,848,844,855,854,850,858,854,856,857,860,854,853,860,859,853,857,856,852
808,813,813,814,814,816,818,819,820,817,822,819,819,820,816,818,817,818,816,817,814,822,816,818,819,818,825,818,816,816,818
