78.1868324,78.2219695,78.27441519999999,78.318258,78.37707569999999,78.4256741,78.4781733,78.5256797,78.5847845,78.6244474,78.6831794,78.7281726,78.7944109,78.8344271,78.888156,78.9357325,79.0003286,79.0319138,79.08571429999999,79.15693449999999,79.2146341,79.2581879,79.2906891,79.3419313,79.4006428,79.4469716,79.5231433,79.5568966,79.6167735,79.6618852,79.7131188,79.7557259
672,1028,1625,2480,3515,4896,5937,7728,10252,11736,12562,12511,11496,10397,9256,7328,5944,4904,3514,1027,-1876,-4192,-7387,-9784,-12119,-12031,-11698,-9494,-8525,-7385,-7472,-7191
-98,-121,-360,-443,-808,-872,-1147,-1178,-1330,-2563,-3316,-4001,-3900,-2306,-1380,-742,-255,-532,-614,-144,828,2307,3224,4412,4202,5491,3384,3737,1173,1042,-87,124
86,308,421,606,829,991,1341,1928,2671,2994,3603,4131,4123,3765,3348,2553,2081,1764,1049,-270,-1347,-1870,-2478,-3069,-3987,-3755,-3432,-2528,-2080,-1623,-1684,-1986
908,912,911,912,907,916,917,913,905,900,908,904,900,911,905,907,905,904,904,908,918,910,908,913,921,915,914,920,923,924,913,924
906,899,896,902,895,911,903,903,903,898,912,902,896,907,902,901,899,896,897,893,901,901,893,900,904,899,898,898,904,900,898,904
