374.2060443,374.2115229,374.2665206,374.31028729999997,374.3772034,374.4127214,374.4552891,374.53150469999997,374.6036911,374.60431389999997,374.6478191,374.7014728,374.7652167,374.8040977,374.8801845,374.9177474,374.98277809999996,375.02277649999996,375.06775269999997,375.1527021,375.2165252,375.24145849999996,375.2815586,375.332785,375.3981616,375.4377331,375.47659219999997,375.5278077,375.6065177,375.6302411,375.6889838,375.7326716
1723,1633,1455,1239,1184,1047,822,585,0,-1098,-4659,-9388,-14196,-18147,-20055,-19660,-16998,-13062,-8129,-4014,-1106,510,981,1543,2070,1908,1521,2575,5029,8203,10326,11290
267,171,82,-49,51,-21,-67,-104,-170,256,139,830,1279,1157,589,-155,-739,-2309,-2418,-2441,-2004,-1294,-1080,-900,-498,-503,-298,-13,433,914,802,612
315,589,563,535,403,403,328,216,112,-320,-868,-1666,-2421,-3260,-3085,-2374,-1384,-533,-507,-863,-1046,-1116,-1020,-736,-403,-42,372,459,279,-132,-154,156
748,747,744,747,747,749,748,744,746,745,735,739,735,735,726,715,710,703,711,712,710,711,714,712,715,717,718,716,719,727,737,748
891,889,889,892,898,884,880,887,887,896,894,890,885,895,891,895,898,887,892,892,890,895,891,893,890,893,886,890,893,893,893,900
